lora_mac-INFO-  2021-08-06 12:03:37,640-Init MAC
lora_phy-INFO-  2021-08-06 12:03:37,640-Init PHY
lora_phy-INFO-  2021-08-06 12:03:37,643-PHY TX:mac pause
lora_phy-INFO-  2021-08-06 12:03:37,657-PHY TX:radio set freq 868100000
lora_phy-INFO-  2021-08-06 12:03:37,672-PHY TX:radio set wdt 0
lora_phy-INFO-  2021-08-06 12:03:37,679-PHY TX:radio rx 0
main-DEBUG-  2021-08-06 12:03:39,285-[0: INFO: Main      ] Starting Contiki-NG-develop/v4.7-24-gf18a6e752-dirty
main-DEBUG-  2021-08-06 12:03:39,286-[0: INFO: Main      ] - Routing: RPL Lite
main-DEBUG-  2021-08-06 12:03:39,287-[0: INFO: Main      ] - Net: sicslowpan
main-DEBUG-  2021-08-06 12:03:39,288-[0: INFO: Main      ] - MAC: CSMA
main-DEBUG-  2021-08-06 12:03:39,289-[0: INFO: Main      ] - 802.15.4 PANID: 0xabcd
main-DEBUG-  2021-08-06 12:03:39,310-[0: INFO: Main      ] - 802.15.4 Default channel: 26
main-DEBUG-  2021-08-06 12:03:39,311-[0: INFO: Main      ] Node ID: 24859
main-DEBUG-  2021-08-06 12:03:39,312-[0: INFO: Main      ] Link-layer address: 0012.4b00.060d.611b
main-DEBUG-  2021-08-06 12:03:39,313-[0: INFO: Interface ] Welcome to LoRaMAC interface !
main-DEBUG-  2021-08-06 12:03:39,324-[0: INFO: Interface ] Init LoRaMAC Interface
main-DEBUG-  2021-08-06 12:03:39,325-[0: INFO: Interface ] Welcome !
main-DEBUG-  2021-08-06 12:03:39,325-[0: INFO: RPL       ] initializing
main-DEBUG-  2021-08-06 12:03:39,326-[0: INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:60d:611b
main-DEBUG-  2021-08-06 12:03:39,327-[0: INFO: Zoul      ] Zolertia RE-Mote revision B platform
main-DEBUG-  2021-08-06 12:03:39,647-[1: INFO: App       ] Welcome server
main-DEBUG-  2021-08-06 12:03:43,087-[4: INFO: Interface ] Button pushed
main-DEBUG-  2021-08-06 12:03:43,089-[4: INFO: LoRa MAC  ] Start LoRaMAC RPL root
main-DEBUG-  2021-08-06 12:03:43,092-[4: DBG : LoRa MAC  ] initial state: 0
main-DEBUG-  2021-08-06 12:03:43,093-[4: INFO: LoRa PHY  ] Init LoRa PHY
main-DEBUG-  2021-08-06 12:03:43,095-[4: DBG : LoRa PHY  ] log 1
main-DEBUG-  2021-08-06 12:03:43,096-[4: DBG : LoRa PHY  ] log 2
main-DEBUG-  2021-08-06 12:03:43,109-[4: DBG : LoRa PHY  ] log 3
main-DEBUG-  2021-08-06 12:03:43,110-[4: DBG : LoRa PHY  ] enter UART_TX
main-DEBUG-  2021-08-06 12:03:43,112-[4: DBG : LoRa PHY  ] append { cmd:mac pause resp: [4294967245, none] }[4: DBG : LoRa PHY  ]  to UART TX buffer
main-DEBUG-  2021-08-06 12:03:43,113-[4: DBG : LoRa PHY  ] enter UART_TX
main-DEBUG-  2021-08-06 12:03:43,131-[4: DBG : LoRa PHY  ] append { cmd:radio set freq  resp: [ok, none] }[4: DBG : LoRa PHY  ]  to UART TX buffer
main-DEBUG-  2021-08-06 12:03:43,132-[4: DBG : LoRa PHY  ] enter UART_TX
main-DEBUG-  2021-08-06 12:03:43,133-[4: DBG : LoRa PHY  ] append { cmd:radio set wdt  resp: [ok, none] }[4: DBG : LoRa PHY  ]  to UART TX buffer
main-DEBUG-  2021-08-06 12:03:43,134-[4: DBG : LoRa PHY  ] enter UART_TX
main-DEBUG-  2021-08-06 12:03:43,154-[4: DBG : LoRa PHY  ] with lora frame: {src:27:24859 dest:1:0 k:0 seq:0 next:0 cmd:0 data:
main-DEBUG-  2021-08-06 12:03:43,155-[4: DBG : LoRa PHY  ] append { cmd:radio tx  resp: [radio_tx_ok, radio_err] }[4: DBG : LoRa PHY  ]  to UART TX buffer
main-DEBUG-  2021-08-06 12:03:43,156-[4: DBG : LoRa PHY  ] enter UART_TX
main-DEBUG-  2021-08-06 12:03:43,176-[4: DBG : LoRa PHY  ] append { cmd:radio set wdt  resp: [ok, none] }[4: DBG : LoRa PHY  ]  to UART TX buffer
main-DEBUG-  2021-08-06 12:03:43,177-[4: DBG : LoRa PHY  ] enter UART_TX
main-DEBUG-  2021-08-06 12:03:43,179-[4: DBG : LoRa PHY  ] append { cmd:radio rx  resp: [radio_err, radio_rx] }[4: DBG : LoRa PHY  ]  to UART TX buffer
main-DEBUG-  2021-08-06 12:03:43,198-[4: DBG : LoRa MAC  ] SET retransmit timer
main-DEBUG-  2021-08-06 12:03:43,199-[4: DBG : LoRa MAC  ] initialization complete
main-DEBUG-  2021-08-06 12:03:43,199-[4: DBG : LoRa PHY  ] log 4
main-DEBUG-  2021-08-06 12:03:43,200-[4: DBG : LoRa PHY  ] log 5
main-DEBUG-  2021-08-06 12:03:43,201-[4: DBG : LoRa PHY  ] log 6
main-DEBUG-  2021-08-06 12:03:43,201-[4: DBG : LoRa PHY  ] log 7
main-DEBUG-  2021-08-06 12:03:43,202-[4: DBG : LoRa PHY  ] log 8
main-DEBUG-  2021-08-06 12:03:43,223-[4: DBG : LoRa PHY  ] log 9
main-DEBUG-  2021-08-06 12:03:43,224-[4: DBG : LoRa PHY  ] log 10
main-DEBUG-  2021-08-06 12:03:43,224-[4: DBG : LoRa PHY  ] log 11
main-DEBUG-  2021-08-06 12:03:43,225-[4: DBG : LoRa PHY  ] log 11
main-DEBUG-  2021-08-06 12:03:43,226-[4: DBG : LoRa PHY  ] log 12
main-DEBUG-  2021-08-06 12:03:43,227-[4: DBG : LoRa PHY  ] log 13
main-DEBUG-  2021-08-06 12:03:43,227-[4: DBG : LoRa PHY  ] log 14
main-DEBUG-  2021-08-06 12:03:43,228-[4: DBG : LoRa PHY  ] log 15
main-DEBUG-  2021-08-06 12:03:43,243-[4: DBG : LoRa PHY  ] will call write UART
main-DEBUG-  2021-08-06 12:03:43,243-[4: INFO: LoRa PHY  ] PHY TX:mac pause
main-DEBUG-  2021-08-06 12:03:43,244-[4: DBG : LoRa PHY  ] phy tx done
main-DEBUG-  2021-08-06 12:03:43,244-[4: DBG : LoRa PHY  ] write uart call ended
main-DEBUG-  2021-08-06 12:03:43,245-[4: DBG : LoRa PHY  ] wait can send
main-DEBUG-  2021-08-06 12:03:43,265-[4: DBG : LoRa[4: DBG : LoRa PHY  ] UART response:4294967245
main-DEBUG-  2021-08-06 12:03:43,265-[4: DBG : LoRa PHY  ] compare response with:4294967245
main-DEBUG-  2021-08-06 12:03:43,266-[4: DBG : LoRa PHY  ]  expected !
main-DEBUG-  2021-08-06 12:03:43,266-
PHY  ] wait can send
main-DEBUG-  2021-08-06 12:03:43,266-[4: DBG : LoRa PHY  ] wait can send
main-DEBUG-  2021-08-06 12:03:43,267-[4: DBG : LoRa PHY  ] wait can send
main-DEBUG-  2021-08-06 12:03:43,267-[4: DBG : LoRa PHY  ] wait can send
