lora_mac-INFO-  2021-08-06 11:54:39,063-Init MAC
lora_phy-INFO-  2021-08-06 11:54:39,063-Init PHY
lora_phy-INFO-  2021-08-06 11:54:39,073-PHY TX:mac pause
lora_phy-INFO-  2021-08-06 11:54:39,089-PHY TX:radio set freq 868100000
lora_phy-INFO-  2021-08-06 11:54:39,104-PHY TX:radio set wdt 0
lora_phy-INFO-  2021-08-06 11:54:39,112-PHY TX:radio rx 0
main-DEBUG-  2021-08-06 11:54:40,538-[0: INFO: Main      ] Starting Contiki-NG-develop/v4.7-24-gf18a6e752-dirty
main-DEBUG-  2021-08-06 11:54:40,539-[0: INFO: Main      ] - Routing: RPL Lite
main-DEBUG-  2021-08-06 11:54:40,541-[0: INFO: Main      ] - Net: sicslowpan
main-DEBUG-  2021-08-06 11:54:40,542-[0: INFO: Main      ] - MAC: CSMA
main-DEBUG-  2021-08-06 11:54:40,544-[0: INFO: Main      ] - 802.15.4 PANID: 0xabcd
main-DEBUG-  2021-08-06 11:54:40,558-[0: INFO: Main      ] - 802.15.4 Default channel: 26
main-DEBUG-  2021-08-06 11:54:40,560-[0: INFO: Main      ] Node ID: 24859
main-DEBUG-  2021-08-06 11:54:40,569-[0: INFO: Main      ] Link-layer address: 0012.4b00.060d.611b
main-DEBUG-  2021-08-06 11:54:40,571-[0: INFO: Interface ] Welcome to LoRaMAC interface !
main-DEBUG-  2021-08-06 11:54:40,577-[0: INFO: Interface ] Init LoRaMAC Interface
main-DEBUG-  2021-08-06 11:54:40,578-[0: INFO: Interface ] Welcome !
main-DEBUG-  2021-08-06 11:54:40,580-[0: INFO: RPL       ] initializing
main-DEBUG-  2021-08-06 11:54:40,581-[0: INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:60d:611b
main-DEBUG-  2021-08-06 11:54:40,582-[0: INFO: Zoul      ] Zolertia RE-Mote revision B platform
main-DEBUG-  2021-08-06 11:54:40,880-[0: INFO: App       ] Welcome server
main-DEBUG-  2021-08-06 11:54:51,469-[11: INFO: Interface ] Button pushed
main-DEBUG-  2021-08-06 11:54:51,471-[11: INFO: LoRa MAC  ] Start LoRaMAC RPL root
main-DEBUG-  2021-08-06 11:54:51,474-[11: DBG : LoRa MAC  ] initial state: 0
main-DEBUG-  2021-08-06 11:54:51,475-[11: INFO: LoRa PHY  ] Init LoRa PHY
main-DEBUG-  2021-08-06 11:54:51,476-[11: DBG : LoRa PHY  ] log 1
main-DEBUG-  2021-08-06 11:54:51,476-[11: DBG : LoRa PHY  ] log 2
main-DEBUG-  2021-08-06 11:54:51,490-[11: DBG : LoRa PHY  ] log 3
